sCT ID	chromosome	5’ boundary of the cryptic zone	3’ boundary of the cryptic zone	cTSS	cdsEnd	txEnd	strand	host_gene	sCT expression in spt6-1004 (FPKM)	Log2 spt6-1004/WT FC	z score
YBR008C_crA	II	253558	253468	253513	252562	252418	-	YBR008C	40.2929141658865	1.28538493216147	22.4038950557397
YBR019C_crA	II	277524	277428	277476	276252	276252	-	YBR019C	9.15199000816638	3.3403053580082	15.1395619755391
YBR019C_crB	II	277301	277213	277257	276252	276252	-	YBR019C	NA	NA	15.1395619755391
YBR019C_crC	II	276911	276793	276852	276252	276252	-	YBR019C	21.303106131698	1.52859845421329	15.1395619755391
YBR021W_crA	II	282523	282653	282588	283344	283512	+	YBR021W	61.7860584678403	-0.134004085174634	18.5965240994649
YBR021W_crB	II	282711	282841	282776	283344	283512	+	YBR021W	2.23933459272831	0.513436888621268	18.5965240994649
YBR023C_crA	II	286034	285900	285967	284427	284243	-	YBR023C	47.8504232877538	-0.194055619958876	20.3389452799665
YBR023C_crB	II	285710	285442	285576	284427	284243	-	YBR023C	34.3390819732476	0.364248894929385	20.3389452799665
YBR033W_crA	II	303432	303506	303469	304703	304703	+	YBR033W	21.439249421777	3.8006635274764	31.6426010956388
YBR033W_crB	II	303633	303731	303682	304703	304703	+	YBR033W	24.1163025767706	3.27895837019409	31.6426010956388
YBR038W_crA	II	312920	313042	312981	314789	314961	+	YBR038W	15.8692956721705	-1.08663705241737	24.0048834463122
YBR038W_crB	II	313191	313313	313252	314789	314961	+	YBR038W	37.2890481744345	-0.324032699178875	24.0048834463122
YBR041W_crA	II	319341	319491	319416	320275	320360	+	YBR041W	52.6555779270484	0.425243691499248	21.033923962799
YBR043C_crA	II	322977	322815	322896	321875	321779	-	YBR043C	30.8090184377964	0.428383787276234	16.820601275217
YBR043C_crB	II	322390	322290	322340	321875	321779	-	YBR043C	88.0614762068716	0.968869793050584	16.820601275217
YBR044C_crA	II	324962	324840	324901	324340	324283	-	YBR044C	82.3624802979979	0.117662806277575	19.6855181363469
YBR044C_crB	II	324829	324761	324795	324340	324283	-	YBR044C	NA	NA	19.6855181363469
YBR045C_crA	II	328735	328635	328685	328172	328148	-	YBR045C	38.3237766744796	1.74563292982019	20.7843338119605
YBR055C_crA	II	346098	345820	345959	344601	344501	-	YBR055C	33.9018148829119	0.0519493865726364	20.8863559605515
YBR055C_crB	II	345492	345350	345421	344601	344501	-	YBR055C	44.4444885084872	0.619516093821692	20.8863559605515
YBR060C_crA	II	361752	361574	361663	360651	360565	-	YBR060C	40.792350103352	0.287931769811347	23.9217276132663
YBR073W_crA	II	384567	384713	384640	385988	385996	+	YBR073W	102.939227777025	0.730890015089518	24.2165442465025
YBR073W_crB	II	384804	384978	384891	385988	385996	+	YBR073W	74.4459622633467	1.09831382613962	24.2165442465025
YBR074W_crA	II	387906	388200	388053	389216	389308	+	YBR074W	92.883319579387	0.503095398472316	19.8382747527778
YBR076W_crA	II	390809	390843	390826	391291	391291	+	YBR076W	56.4021548403523	3.52635242061718	23.0827623907263
YBR081C_crA	II	402921	402797	402859	401252	401128	-	YBR081C	93.6835278442324	1.3468992667703	29.955163954862
YBR084W_crA	II	412653	412803	412728	413981	414149	+	YBR084W	102.249154436819	-0.260943947694324	15.1942237834211
YBR094W_crA	II	433304	433456	433380	434297	434397	+	YBR094W	41.2287612993061	0.261610869267529	22.0708025825261
YBR097W_crA	II	439774	439954	439864	441315	441293	+	YBR097W	41.4463103327228	1.51974848197587	37.4800634308403
YBR098W_crA	II	442607	442837	442722	443590	443749	+	YBR098W	27.9631984307164	1.0853464782293	22.5565854492353
YBR103W_crA	II	448575	448691	448633	449316	449325	+	YBR103W	20.7786517648407	0.875354972201477	15.7664576167983
YBR108W_crA	II	456566	456654	456610	457665	457830	+	YBR108W	92.0525263308658	1.70316078981151	29.6062119702767
YBR110W_crA	II	459369	459427	459398	460221	460221	+	YBR110W	60.246049066078	1.11119536931229	17.1961281513851
YBR114W_crA	II	468439	468569	468504	469620	469670	+	YBR114W	71.1161191878465	0.213489097025927	21.2906233483618
YBR114W_crB	II	468650	468780	468715	469620	469670	+	YBR114W	34.9817650076495	0.658232505463578	21.2906233483618
YBR115C_crA	II	472221	472033	472127	469747	469649	-	YBR115C	44.8722374912921	1.4088826930047	20.7043870843203
YBR120C_crA	II	480774	480714	480744	480434	480361	-	YBR120C	8.74774213167269	0.732080550130765	15.1784451454438
YBR123C_crA	II	485875	485731	485803	484741	484673	-	YBR123C	57.2569128251468	0.895002535207861	24.091523482578
YBR129C_crA	II	495047	494949	494998	494352	494281	-	YBR129C	25.0454685114217	0.0856424391871902	19.3941804005771
YBR131W_crA	II	498161	498287	498224	499277	499462	+	YBR131W	45.8190733159834	0.810161407655832	20.1216033771665
YBR131W_crB	II	498360	498456	498408	499277	499462	+	YBR131W	19.2858090062694	1.1847965935782	20.1216033771665
YBR136W_crA	II	509492	509946	509719	512774	512966	+	YBR136W	30.0672141473401	1.41609715910592	37.5202851282106
YBR140C_crA	II	519979	519579	519779	517349	517233	-	YBR140C	32.4841657535359	0.500946058390024	24.1534450917517
YBR140C_crB	II	519205	518869	519037	517349	517233	-	YBR140C	46.5180660545006	0.997347140663881	24.1534450917517
YBR148W_crA	II	538761	538999	538880	539705	539638	+	YBR148W	12.7791564718145	0.954434778477232	16.7583276451949
YBR156C_crA	II	551919	551595	551757	551103	550945	-	YBR156C	44.2990135526967	0.832280127881433	17.4081400999933
YBR161W_crA	II	562267	562401	562334	562764	562917	+	YBR161W	49.0009383531194	1.26211736677331	17.1176615353092
YBR165W_crA	II	569325	569389	569357	569685	569813	+	YBR165W	112.21739158585	1.59200438184433	16.7379923828612
YBR169C_crA	II	575027	574947	574987	573914	573672	-	YBR169C	147.764966775359	1.81031113074284	20.1975949993947
YBR169C_crB	II	574808	574716	574762	573914	573672	-	YBR169C	182.930616665548	1.75038987660753	20.1975949993947
YBR169C_crC	II	574564	574518	574541	573914	573672	-	YBR169C	156.010206992994	1.86057646611194	20.1975949993947
YBR175W_crA	II	582779	582869	582824	583355	583461	+	YBR175W	22.1436004534327	0.541562577253859	18.5674596514578
YBR179C_crA	II	588008	587892	587950	586546	586448	-	YBR179C	77.2151427854675	1.00020003516845	23.0761441065243
YBR179C_crB	II	587784	587708	587746	586546	586448	-	YBR179C	14.3214472131197	1.28486017130406	23.0761441065243
YBR180W_crA	II	590577	590751	590664	591459	591459	+	YBR180W	6.00571843867147	2.21702516323312	22.4590174850344
YBR181C_crA	II	592380	592366	592373	591711	591592	-	YBR181C	1717.4411955583	-2.26144946409363	22.9427002399236
YBR181C_crB	II	592363	592337	592350	591711	591592	-	YBR181C	NA	NA	22.9427002399236
YBR182C_crA	II	594178	594100	594139	593505	593128	-	YBR182C	40.5231220597121	2.25576660585601	20.2494437912449
YBR184W_crA	II	598038	598174	598106	598934	598941	+	YBR184W	15.8583940218902	0.980403668011106	20.7098772620803
YBR195C_crA	II	611157	611035	611096	610613	610496	-	YBR195C	54.5130462148564	0.690658622120439	27.3723411281368
YBR203W_crA	II	630337	630509	630423	631942	631901	+	YBR203W	27.1813149324373	2.02996662137736	26.5911185181033
YBR208C_crA	II	639538	639212	639375	636702	636584	-	YBR208C	48.2106899792899	1.26284859315838	29.6980631501796
YBR215W_crA	II	654598	654688	654643	655317	655429	+	YBR215W	54.4960920284984	0.943039505794297	24.7132543764719
YBR216C_crA	II	656712	656604	656658	655575	655312	-	YBR216C	48.424998227556	0.851800572951119	27.9724182222411
YBR216C_crB	II	656519	656395	656457	655575	655312	-	YBR216C	32.1838242638452	1.42480370106319	27.9724182222411
YBR228W_crA	II	675773	675841	675807	676227	676349	+	YBR228W	49.8547049557965	1.27129353736671	15.8437093503827
YBR233W_crA	II	683927	684067	683997	684669	684797	+	YBR233W	47.3373396372647	0.279181672076577	19.3072734740059
YBR233W_crB	II	684170	684258	684214	684669	684797	+	YBR233W	49.2167377857599	0.745872548176279	19.3072734740059
YBR235W_crA	II	688625	689065	688845	690263	690333	+	YBR235W	55.6685661559692	0.909818381102546	19.8289351526065
YBR237W_crA	II	693267	693455	693361	694518	694637	+	YBR237W	40.5592095237558	1.21394223925611	18.5891804932481
YBR251W_crA	II	721712	721836	721774	722313	722397	+	YBR251W	2.6915732033959	0.740878826173816	16.8301971448974
YBR255W_crA	II	725689	725809	725749	726540	726677	+	YBR255W	55.930219592954	1.49712911098073	25.2937108167064
YBR270C_crA	II	743745	743619	743682	742760	742728	-	YBR270C	19.1713826799013	0.14829698980962	23.5561194764024
YBR270C_crB	II	743515	743365	743440	742760	742728	-	YBR270C	14.6607016333023	0.818741650875806	23.5561194764024
YBR275C_crA	II	754030	753690	753860	751355	751264	-	YBR275C	28.0840699100628	0.519558462272179	21.3533026773622
YBR275C_crB	II	753246	753044	753145	751355	751264	-	YBR275C	58.2163581037695	0.750844238480103	21.3533026773622
YBR279W_crA	II	761721	761911	761816	762594	762740	+	YBR279W	34.2992016099657	0.0175230379557203	16.4143416502351
YBR280C_crA	II	763696	763572	763634	762783	762639	-	YBR280C	47.8252015215306	2.12559002039689	26.5033155927879
YBR284W_crA	II	772486	772590	772538	773632	773780	+	YBR284W	38.1367380241632	2.32740401083244	28.8891971440521
YBR284W_crB	II	772698	772788	772743	773632	773780	+	YBR284W	20.1366020962674	2.58382152569733	28.8891971440521
YBR289W_crA	II	780632	780734	780683	782384	782412	+	YBR289W	33.9737666846461	0.771048303605116	18.501337184262
YBR289W_crB	II	781013	781303	781158	782384	782412	+	YBR289W	57.8202145821217	1.02354027605413	18.501337184262
YBR293W_crA	II	787652	787790	787721	788430	788661	+	YBR293W	60.2749513518712	1.36388623676154	17.3538225737316
YBR294W_crA	II	790484	790614	790549	791814	791814	+	YBR294W	16.6211155770265	4.4834544280409	32.1200352084064
YBR294W_crB	II	790809	790923	790866	791814	791814	+	YBR294W	18.8564199181365	4.77217764448491	32.1200352084064
YBR295W_crA	II	795279	795575	795427	796499	796606	+	YBR295W	37.9278986358216	0.478414704643069	30.6660292099607
YBR295W_crB	II	795564	795712	795638	796499	796606	+	YBR295W	24.025457002377	1.61477909837145	30.6660292099607
YBR298C_crA	II	803404	803342	803373	802630	802409	-	YBR298C	51.0448670550445	3.0559404684237	27.819909471291
YBR299W_crA	II	806635	806723	806679	807105	807105	+	YBR299W	11.2450934325636	2.83608499933459	23.5957273395247
YCL014W_crA	III	99514	100196	99855	101191	101258	+	YCL014W	46.3858200648258	0.416671993464458	15.3656319727825
YCL016C_crA	III	95319	95223	95271	94620	94477	-	YCL016C	22.3422367932256	1.18460454205367	16.4787132309793
YCL016C_crB	III	95086	94990	95038	94620	94477	-	YCL016C	44.1825726785425	1.20159725305596	16.4787132309793
YCL024W_crA	III	80884	81084	80984	82275	82322	+	YCL024W	31.6122757965859	0.840692103357149	29.6857746825256
YCL025C_crA	III	77117	76893	77005	76017	75924	-	YCL025C	41.2886877907117	1.11915223632744	15.0185740771939
YCL027W_crA	III	72223	72343	72283	73341	73341	+	YCL027W	67.9590194752385	1.34531002726515	16.4672008020384
YCL027W_crB	III	72499	72647	72573	73341	73341	+	YCL027W	47.7835971937915	1.3332958129435	16.4672008020384
YCL032W_crA	III	64146	64234	64190	64481	64689	+	YCL032W	60.1153887903823	1.43914376505308	19.1983905372269
YCL039W_crA	III	54186	54406	54296	54882	54905	+	YCL039W	81.3382908242361	1.33354618191118	22.7738494532894
YCL051W_crA	III	36720	36868	36794	37616	37689	+	YCL051W	25.272469191212	0.537464872046386	18.3819495341344
YCL057W_crA	III	25541	25643	25592	26906	27033	+	YCL057W	50.9917780919342	0.105396946008521	15.8519167782984
YCL057W_crB	III	25845	25985	25915	26906	27033	+	YCL057W	92.1788296737758	0.361344934915286	15.8519167782984
YCL061C_crA	III	20467	20321	20394	18815	18604	-	YCL061C	66.6691100572376	1.27221626840865	27.5059143456806
YCR010C_crA	III	132564	132472	132518	132272	132095	-	YCR010C	11.385268257615	2.23375952086341	17.2402680273376
YCR014C_crA	III	140207	140067	140137	139184	139175	-	YCR014C	25.0608007485116	1.12294501966279	15.5093642910903
YCR017C_crA	III	146283	145941	146112	144772	144575	-	YCR017C	46.6212211386575	-0.249807591013245	15.7211815161877
YCR017C_crB	III	145630	145490	145560	144772	144575	-	YCR017C	97.4618630893725	0.295255082767463	15.7211815161877
YCR021C_crA	III	156643	156575	156609	156108	156033	-	YCR021C	59.3086555172918	2.59356929984007	17.0838827840955
YCR030C_crA	III	174710	174600	174655	173825	173657	-	YCR030C	50.0204712718602	0.739752061898745	16.9689107891041
YCR032W_crA	III	183795	183921	183858	186023	186054	+	YCR032W	33.088959425384	1.08641596608554	30.3696000099266
YCR032W_crB	III	184146	184418	184282	186023	186054	+	YCR032W	19.6318312330488	1.26405327043554	30.3696000099266
YCR032W_crC	III	184459	184629	184544	186023	186054	+	YCR032W	58.1836693643926	1.51370813087149	30.3696000099266
YCR036W_crA	III	193793	193841	193817	194298	194382	+	YCR036W	312.21001875481	0.408087565364478	15.3394158596613
YCR036W_crB	III	193858	193896	193877	194298	194382	+	YCR036W	NA	NA	15.3394158596613
YCR037C_crA	III	195638	195290	195464	194413	194313	-	YCR037C	21.2543213547184	0.179926996669984	16.6694532336532
YCR042C_crA	III	203468	203106	203287	201173	201156	-	YCR042C	50.4230304725389	1.22372889322535	21.7425315964856
YCR053W_crA	III	217249	217311	217280	218241	218318	+	YCR053W	691.912245811111	-0.263908128858365	16.8484845948439
YCR053W_crB	III	217304	217418	217361	218241	218318	+	YCR053W	NA	NA	16.8484845948439
YCR066W_crA	III	232312	232374	232343	232963	233086	+	YCR066W	42.9396600238382	1.67326140120297	23.4390264190235
YCR073C_crA	III	244546	244324	244435	242587	242496	-	YCR073C	21.7608817545383	1.51006156565746	32.4740684868827
YCR073C_crB	III	244040	243900	243970	242587	242496	-	YCR073C	30.6149467276843	1.95036583035777	32.4740684868827
YCR081W_crA	III	256754	257266	257010	258654	258845	+	YCR081W	36.9592585184904	0.778155596404591	23.9410249912806
YCR084C_crA	III	261765	261673	261719	260310	259984	-	YCR084C	15.19271041164	-1.04761585995959	18.4949911716647
YCR084C_crB	III	261528	261396	261462	260310	259984	-	YCR084C	157.903565516792	-0.74580250750141	18.4949911716647
YCR084C_crC	III	261247	261141	261194	260310	259984	-	YCR084C	NA	NA	18.4949911716647
YCR089W_crA	III	270470	270702	270586	272263	272293	+	YCR089W	123.382712771288	1.6977898901866	37.6982033085309
YCR091W_crA	III	275648	275804	275726	276566	277477	+	YCR091W	43.5910622820177	1.70677524651579	24.5112655409902
YCR098C_crA	III	298112	298026	298069	297048	296824	-	YCR098C	43.5210501804915	3.02047861395288	18.5020474007765
YCR098C_crB	III	297916	297850	297883	297048	296824	-	YCR098C	16.9623469917194	3.19753892517488	18.5020474007765
YDL019C_crA	IV	419721	419489	419605	417662	417511	-	YDL019C	72.7728020749741	0.578825846648603	24.1657916996097
YDL019C_crB	IV	419400	419294	419347	417662	417511	-	YDL019C	29.8877353737199	0.950880073640555	24.1657916996097
YDL020C_crA	IV	416235	415953	416094	415112	414975	-	YDL020C	251.792736672431	2.0376800058503	16.4759967434291
YDL020C_crB	IV	415980	415916	415948	415112	414975	-	YDL020C	55.956558559738	2.04127913328737	16.4759967434291
YDL027C_crA	IV	404451	404365	404408	403694	403495	-	YDL027C	62.7059154095375	0.95205834434494	19.3227196660793
YDL028C_crA	IV	402082	401702	401892	400996	400847	-	YDL028C	23.5682002474645	0.561983865844115	17.6718680544312
YDL030W_crA	IV	398591	398657	398624	399129	399172	+	YDL030W	79.237859961595	1.44493249463253	26.1858019353396
YDL040C_crA	IV	380145	379965	380055	378873	378863	-	YDL040C	86.3759176487656	0.0017439566440038	18.8674301643598
YDL042C_crA	IV	377362	377214	377288	376756	376639	-	YDL042C	59.6199950386243	0.399450766980538	15.3976680476581
YDL042C_crB	IV	377202	377132	377167	376756	376639	-	YDL042C	34.7154749857374	0.877795711777274	15.3976680476581
YDL044C_crA	IV	374829	374659	374744	373966	373887	-	YDL044C	18.9294889217644	1.00464557025538	20.0364612937919
YDL048C_crA	IV	367363	367251	367307	366738	366636	-	YDL048C	45.3442725858939	0.638030823042089	17.2191206085917
YDL053C_crA	IV	361919	361857	361888	361698	361516	-	YDL053C	292.268468367691	0.950185679588017	16.2884676569377
YDL058W_crA	IV	348521	348759	348640	351037	351137	+	YDL058W	75.5936979860545	0.901524871601731	27.3899147521039
YDL073W_crA	IV	328196	328478	328337	329567	329585	+	YDL073W	58.322846974417	0.647307530596066	20.6882238655398
YDL077C_crA	IV	318955	318891	318923	316970	316868	-	YDL077C	118.241481311751	1.68943339163748	32.6589860703423
YDL077C_crB	IV	318719	318673	318696	316970	316868	-	YDL077C	20.2240423075015	1.89185065400716	32.6589860703423
YDL079C_crA	IV	314298	314190	314244	312950	312772	-	YDL079C	NA	NA	15.9291250143687
YDL079C_crB	IV	314149	313889	314019	312950	312772	-	YDL079C	16.6020388011348	1.3457647665306	15.9291250143687
YDL080C_crA	IV	311378	311248	311313	310641	310500	-	YDL080C	13.4072945771298	0.230480217661953	17.1135775122623
YDL080C_crB	IV	311192	311084	311138	310641	310500	-	YDL080C	56.8621821493487	0.663276219833289	17.1135775122623
YDL085W_crA	IV	303988	304070	304029	304848	305073	+	YDL085W	9.5642588384906	2.88080726064791	15.7784845094483
YDL093W_crA	IV	291317	291539	291428	292140	292353	+	YDL093W	38.5036713976682	0.596357465863099	18.461719134628
YDL101C_crA	IV	281124	280936	281030	280306	280180	-	YDL101C	36.3626415013435	0.802987926509432	18.1437160704005
YDL102W_crA	IV	278444	278602	278523	280165	280337	+	YDL102W	46.463094420195	1.09853466835868	27.811427507617
YDL107W_crA	IV	269498	269594	269546	269976	270113	+	YDL107W	64.1426031182481	1.73958097729574	18.5984475120769
YDL112W_crA	IV	261970	262186	262078	263225	263377	+	YDL112W	110.603466610637	1.003539115681	28.7810499122133
YDL113C_crA	IV	257738	257530	257634	256632	256532	-	YDL113C	35.5330464786805	1.11339670014853	17.6069841555744
YDL133W_crA	IV	222833	222911	222872	223740	223833	+	YDL133W	18.1488822880788	0.687844497942984	15.6422654617601
YDL133W_crB	IV	223115	223201	223158	223740	223833	+	YDL133W	66.5237408848142	0.87262767138489	15.6422654617601
YDL138W_crA	IV	214206	214258	214232	215642	215752	+	YDL138W	18.3434722610563	0.699210252017319	18.0074597170981
YDL138W_crB	IV	214693	214799	214746	215642	215752	+	YDL138W	36.4192297224233	1.00492666501295	18.0074597170981
YDL141W_crA	IV	203797	203891	203844	205111	205344	+	YDL141W	47.8771422770835	0.489173414758193	23.4877224035421
YDL141W_crB	IV	204060	204174	204117	205111	205344	+	YDL141W	41.7042824403655	0.880457096169024	23.4877224035421
YDL149W_crA	IV	186330	186678	186504	187918	187976	+	YDL149W	37.2535687914768	1.83841664899559	26.1835509824471
YDL154W_crA	IV	179999	180121	180060	181039	180008	+	YDL154W	37.4398221524354	1.47472571215317	26.2678779447722
YDL164C_crA	IV	166571	166305	166438	164986	164803	-	YDL164C	29.5064193957943	0.471635816041121	15.6133496440625
YDL171C_crA	IV	151758	151118	151438	149202	149099	-	YDL171C	66.4098512557362	0.561190708231103	24.4051284618004
YDL176W_crA	IV	143053	143151	143102	144223	144280	+	YDL176W	60.3373501684918	1.55710938063601	29.7770957051391
YDL186W_crA	IV	125913	125991	125952	126449	126449	+	YDL186W	3.45006059770658	2.20227233643592	19.6035320527482
YDL190C_crA	IV	120090	119930	120010	118706	118635	-	YDL190C	82.2806485241394	1.20642070886407	28.1813061936628
YDL199C_crA	IV	102463	102353	102408	101289	101107	-	YDL199C	16.0921909939922	1.92400164059287	28.5603352724974
YDL199C_crB	IV	102113	102021	102067	101289	101107	-	YDL199C	27.4572130631406	2.18011248161435	28.5603352724974
YDL203C_crA	IV	97166	96878	97022	96081	96043	-	YDL203C	27.4199711019365	0.177965120019646	16.4012719575236
YDL203C_crB	IV	96838	96702	96770	96081	96043	-	YDL203C	53.5006550482318	0.540052765453223	16.4012719575236
YDL211C_crA	IV	79999	79823	79911	79293	79203	-	YDL211C	8.0334461895011	0.350784258269173	21.7384631213787
YDL214C_crA	IV	76012	75898	75955	74445	74435	-	YDL214C	10.2956325715531	1.77761258209469	20.2489037572902
YDL214C_crB	IV	75566	75532	75549	74445	74435	-	YDL214C	9.4779094571272	1.89748899159576	20.2489037572902
YDL218W_crA	IV	66841	66919	66880	67446	67446	+	YDL218W	162.389512587214	4.50240444529003	19.4469610948322
YDL218W_crB	IV	66990	67036	67013	67446	67446	+	YDL218W	24.056854835666	4.31849396261147	19.4469610948322
YDL223C_crA	IV	58406	58336	58371	57264	57147	-	YDL223C	99.954308655436	2.54440686077068	28.9204668806781
